AUC,F1 Macro,Precision Macro,Recall Macro,Accuracy,qc,model_type,num_steps,h_scale,theta_j
0.4799999999999999,0.4444444444444444,0.4431818181818182,0.44999999999999996,0.5333333333333333,QC,Q_2body,,,
0.52,0.48863636363636365,0.5,0.5,0.6,QC,Q_2body,,,
0.5,0.375,0.32142857142857145,0.45,0.6,QC,Q_2body,,,
0.275,0.41666666666666663,0.4583333333333333,0.45,0.42857142857142855,QC,Q_2body,,,
0.475,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC,Q_2body,,,
0.475,0.391304347826087,0.34615384615384615,0.45,0.6428571428571429,QC,Q_2body,,,
0.8,0.65,0.65,0.65,0.7142857142857143,QC,Q_2body,,,
0.7555555555555555,0.7083333333333333,0.7142857142857142,0.7333333333333334,0.7142857142857143,QC,Q_2body,,,
0.6,0.65,0.696969696969697,0.6444444444444444,0.7142857142857143,QC,Q_2body,,,
0.5777777777777777,0.49743589743589745,0.5208333333333333,0.5222222222222221,0.5,QC,Q_2body,,,
0.7555555555555555,0.5238095238095237,0.5833333333333333,0.5444444444444444,0.6428571428571429,QC,Q_2body,,,
0.6666666666666667,0.5906432748538011,0.6,0.5888888888888889,0.6428571428571429,QC,Q_2body,,,
0.52,0.4444444444444444,0.4431818181818182,0.44999999999999996,0.5333333333333333,QC+CL,SHAP50,,,
0.42,0.3181818181818182,0.2916666666666667,0.35,0.4666666666666667,QC+CL,SHAP50,,,
0.56,0.5833333333333333,0.5892857142857143,0.6,0.6,QC+CL,SHAP50,,,
0.47500000000000003,0.5238095238095237,0.5303030303030303,0.525,0.6428571428571429,QC+CL,SHAP50,,,
0.22499999999999998,0.3333333333333333,0.3181818181818182,0.35,0.5,QC+CL,SHAP50,,,
0.8,0.5757575757575758,0.625,0.575,0.7142857142857143,QC+CL,SHAP50,,,
0.55,0.4269005847953216,0.43333333333333335,0.425,0.5,QC+CL,SHAP50,,,
0.4888888888888889,0.47593582887700536,0.47916666666666663,0.4777777777777778,0.5,QC+CL,SHAP50,,,
0.6,0.5906432748538011,0.6,0.5888888888888889,0.6428571428571429,QC+CL,SHAP50,,,
0.6888888888888889,0.625668449197861,0.625,0.6333333333333333,0.6428571428571429,QC+CL,SHAP50,,,
0.6666666666666666,0.5757575757575758,0.8461538461538461,0.6,0.7142857142857143,QC+CL,SHAP50,,,
0.6,0.475,0.48484848484848486,0.48888888888888893,0.5714285714285714,QC+CL,SHAP50,,,
0.38,0.3181818181818182,0.2916666666666667,0.35,0.4666666666666667,QC+CL,SHAP50,,,
